school,teamname,year_of_pub,acceptance_rate,top10pct,alumni_giving_rate,top25pct,usnews_score,usnews_academic_rep_old,sat_act_25_75,avg_sat_act,usnews_academic_rep_new,year,team,unitid,vseteamname,alumni_ops_academic,alumni_ops_faculty,alumni_ops_research,alumni_ops_libraries,alumni_ops_physical_plant,alumni_ops_student_aid,alumni_ops_athletics,alumni_ops_other,alumni_ops_total,alumni_donation_rate,alumni_ugrad_donation_rate,alumni_ops_donation_rate,alumni_solicit_rate,alumni_giving_as_share_of_total,alumni_of_record,alumni_donors,alumni_total_giving,ops_athletics_donors,ops_athletics_total_ath,capital_athletics_donors,capital_athletics_total,athletics_donors,athletics_total,corporations_total_giving,expenditures_per_student,foundations_total_giving,foundations_ops_athletics,foundations_ops_total,corporations_ops_athletics,corporations_ops_total,ops_athletics_total_grand,ops_total,total_giving_2004_onwards,total_giving_pre_2004,alumni_ops_pub_serv,corporations_total,foundations_total,appdate,applicants_male,applicants_female,admits_male,admits_female,enrolled_male,enrolled_female,satdate,satnum,satpct,actnum,actpct,satvr25,satvr75,satmt25,satmt75,actcm25,actcm75,acten25,acten75,actmt25,actmt75,name,city,state,fips,control,iclevel,black,asian,hispanic,vse_alum_giving_rate,first_time_students_missing,first_time_students_total,first_time_outofstate,first_time_instate
,Miami (Ohio),,,,,,,,,,,2009,121,204024,"Miami University (Oxford, OH)",478867,2373,1080,41062,279459,461045,216343,508665,3021326,.132,.149,.082,.762,.478,163491,21540,13266133,937,628488,138,110985,1075,739473,3306930,23909,4245464,1000,564781,29466,1982384,628487,8089806,27729341,27735717,28608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.13175038,,,,
University of Michigan,Michigan,1990,60,71,,,86.199997,11,,,,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF MICHIGAN ANN ARBOR,ANN ARBOR,MI,Michigan,Public,4 or more years (Baccalaureate or higher degree),,,,,,,,
Univ of Michigan,Michigan,1991,60,69,,,87.300003,11,1070-1290,,,1990,103,170976,"University of Michigan (Ann Arbor, MI)",,,,,,,,,,,,,.9634493115884037,,293647,61230,32429727,,,,,,,15295245,,13220623,,,,,,,,83608567,,15295245,13220623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.20851567,,,,
,Michigan,,,,,,,,,,,1991,103,170976,"University of Michigan (Ann Arbor, MI)",,,,,,,,,,,,,.9562609182899898,,303390,58695,27780503,,,,,,,18389681,,17985032,,,,,,,,94789039,,18389681,17985032,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF MICHIGAN-ANN ARBOR,ANN ARBOR,MI,Michigan,Public,4 or more years (Baccalaureate or higher degree),,,,.19346386,,,,
University of Michigan,Michigan,1993,69,64,20,,86.699997,7,1070-1300,,,1992,103,170976,"University of Michigan (Ann Arbor, MI)",,,,,,,,,,,,,.9619213696892834,,315400,67931,26572416,,,,,,,14508192,,16276660,,,,,,,,84824998,,14508192,16276660,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF MICHIGAN-ANN ARBOR,ANN ARBOR,MI,Michigan,Public,4 or more years (Baccalaureate or higher degree),,,,.21538047,,4689,1800,2889
Univ of Mich. At Ann Arbor,Michigan,1994,68,66,26,,87.599998,9,1070-1300,1185,,1993,103,170976,"University of Michigan (Ann Arbor, MI)",,,,,,,,,,,,,.9769303201506592,,322848,67745,31835180,,,,,,,20291606,,13137262,,,,,,,,98023966,,20291606,13137262,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF MICHIGAN-ANN ARBOR,ANN ARBOR,MI,Michigan,Public,4 or more years (Baccalaureate or higher degree),,,,.20983559,,,,
U. of Michigan-Ann Arbor,Michigan,1996,69,64,14,,87.699997,,25-30,,,1995,103,170976,"University of Michigan (Ann Arbor, MI)",,,,,,,,,,,,,.9840562987535908,,332796,60154,66107000,,,,,,,23038000,,22684000,,,,,,,,145758000,,23038000,22684000,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF MICHIGAN-ANN ARBOR,ANN ARBOR,MI,Michigan,Public,4 or more years (Baccalaureate or higher degree),8,10,4,.18075338,,,,
Univ of Mich-Ann Arbor,Michigan,1997,68,61,14,,88,,,,,1996,103,170976,"University of Michigan (Ann Arbor, MI)",,,,,,,,,,,,,.9851161048482828,,363077,60830,47608000,,,,,,,27499000,,19069000,,,,,,,,121613000,,27499000,19069000,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF MICHIGAN-ANN ARBOR,ANN ARBOR,MI,Michigan,Public,4 or more years (Baccalaureate or higher degree),8,10,4,.16754022,,5327,2056,3271
Univ of Michigan-Ann Arbor,Michigan,1998,69,59,13,,87,,25-30,,4.5,1997,103,170976,"University of Michigan (Ann Arbor, MI)",,,,,,,,,,,,,.9846761054762283,,364594,60165,61924000,,,,,,,29837000,,26539000,,,,,,,,157948000,,29837000,26539000,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF MICHIGAN-ANN ARBOR,ANN ARBOR,MI,Michigan,Public,4 or more years (Baccalaureate or higher degree),8,10,4,.16501917,,,,
University of Michigan-Ann Arbor,Michigan,1999,59,63,13,,,,,,4.5,1998,103,170976,"University of Michigan (Ann Arbor, MI)",,,,,,,,,,,,,.9042813285227248,,412699,60287,76141000,,,,,,,34977000,,28758000,,,,,,,,179524000,,34977000,28758000,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF MICHIGAN-ANN ARBOR,ANN ARBOR,MI,Michigan,Public,4 or more years (Baccalaureate or higher degree),8,11,4,.14607982,,5253,1800,3453
University of Michigan-Ann Arbor,Michigan,2000,64,63,13,,,,26-30,,4.5,1999,103,170976,"University of Michigan (Ann Arbor, MI)",16424600,278489,1617740,287249,218503,1510180,1717140,4640990,28312900,.176,,.157,.9399999999999999,,389078,68602,79626300,4451,2793820,551,,5002,,28765100,30393,28983000,6250,25841500,274529,21542500,2793720,98814800,,176993000,570099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.17631941,,,,
University of Michigan-Ann Arbor,Michigan,2001,55,67,13,,77,,25-30,,4.5999999,2000,103,170976,"University of Michigan (Ann Arbor, MI)",16776500,44171,2292780,293807,529511,2061990,1903950,1314900,26804100,.163,,.153,.9340000000000001,,399601,65102,126352000,5425,3024780,686,,6111,,29317700,32126,29630500,2800,24287100,255182,20758900,2964580,96980900,,230605000,638176,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF MICHIGAN-ANN ARBOR,ANN ARBOR,MI,Michigan,Public,4 or more years (Baccalaureate or higher degree),7,11,4,.16291751,0,5418,2224,3194
University of Michigan-Ann Arbor,Michigan,2002,52,69,14,,72,,,,4.5,2001,103,170976,"University of Michigan (Ann Arbor, MI)",18215746,34582,1376963,254984,2090048,3782543,504115,14235603,46987270,.153,,.143,.945,,400711,61263,96088192,1044,1005913,1152,,,,29185035,36517,36834471,500,34564570,58789,20764415,1005914,134033736,,218114221,780588,,,Fall 2001,12393,11748,5949,6645,2617,2859,Fall 2001,3493,63,3986,72,574,681,612,721,25,30,25,31,25,31,UNIVERSITY OF MICHIGAN-ANN ARBOR,ANN ARBOR,MI,Michigan,Public,4 or more years (Baccalaureate or higher degree),7,12,4,.15288575,,5540,2093,3447
University of Michigan- Ann Arbor,Michigan,2003,49,87,15,,75,,,,4.5999999,2002,103,170976,"University of Michigan (Ann Arbor, MI)",14068388,25939,1519657,230270,588559,4785447,547815,1719293,25952214,.15,,.141,.9379999999999999,,412148,61805,70884528,1260,1393596,382,,,,23442942,45305,23857160,500,23037622,391315,15243543,1393596,96712690,,168107250,1087575,,,Fall 2001,13186,11922,5935,6380,2464,2692,Fall 2001,3251,63,3808,73,570,670,610,720,26,30,25,30,26,31,UNIVERSITY OF MICHIGAN-ANN ARBOR,ANN ARBOR,MI,Michigan,Public,4 or more years (Baccalaureate or higher degree),7,12,4,.14995827,4972,5187,1816,3371
University of Michigan - Ann Arbor,Michigan,2004,53,90,14,,76,,,,4.5999999,2003,103,170976,"University of Michigan (Ann Arbor, MI)",15413459,11425,1250596,569444,164795,5238045,777084,1750669,26791459,.141,,.133,.9370000000000001,.48,418869,59186,85642841,1114,1403544,637,2405616,1751,3809160,22366374,42875,24998373,1575,21844128,240904,17570728,1388011,96060326,178597017,183895364,945161,,,Fall 2001,13443,12500,6625,7189,2624,2893,Fall 2001,3179,57,3744,67,580,690,620,720,26,30,25,31,26,32,UNIVERSITY OF MICHIGAN-ANN ARBOR,ANN ARBOR,MI,Michigan,Public,4 or more years (Baccalaureate or higher degree),,,,.14129955,5317,5550,2033,3517
University of Michigan - Ann Arbor,Michigan,2005,62,90,13,,75,,,,4.5,2004,103,170976,"University of Michigan (Ann Arbor, MI)",16998372,25189,2306919,239560,44848,6955617,949021,7596828,37639003,.145,,.136,.9329999999999999,.477,430075,62537,98258614,2204,2272588,1027,3808668,3231,6081256,21249925,44721,33972561,5075,28807956,247230,16232307,2253590,113778014,206165782,211610235,1264621,,,Fall 2001,10954,10339,6561,6743,2974,3033,Fall 2001,3474,58,4026,67,580,700,630,740,26,31,25,31,26,30,UNIVERSITY OF MICHIGAN-ANN ARBOR,ANN ARBOR,MI,Michigan,Public,4 or more years (Baccalaureate or higher degree),,,,.14540952,5712,6037,2330,3707
University of Michigan--Ann Arbor,Michigan,2006,,,,,75,,,,4.5,2005,103,170976,"University of Michigan (Ann Arbor, MI)",26860105,22994,3283677,555739,2302047,7392851,5129183,2879743,51551235,.152,,.143,.929,.469,444100,67617,117971370,13461,10304137,166,4952328,13627,15256465,23618921,43097,36817563,18755,28908652,381884,16456569,10245192,137116625,251353272,255732452,2290023,,,Fall 2001,12114,11768,6669,6941,3010,3072,Fall 2001,3366,57,4060,69,590,690,630,730,26,31,26,31,26,32,University of Michigan-Ann Arbor,Ann Arbor,MI,Michigan,Public,4 or more years (Baccalaureate or higher degree),,,,.15225625,5810,6113,2393,3720
University of Michigan--Ann Arbor*,Michigan,2007,47,90,17,,73,,,,4.5,2006,103,170976,"University of Michigan (Ann Arbor, MI)",25487610,26762,4418182,345951,3043568,8048357,4471624,1871435,50330715,.146,,.135,.9399999999999999,.495,447082,65075,124366506,13545,8683415,154,6211366,13699,14894781,20833230,42458,33636733,11875,23222827,442059,17177676,8471391,133711209,251476551,257443519,2461211,,,Fall 2001,13096,12710,5984,6262,2652,2704,Fall 2001,3015,59,3896,76,580,690,630,730,27,31,26,32,27,32,University of Michigan-Ann Arbor,Ann Arbor,MI,Michigan,Public,4 or more years (Baccalaureate or higher degree),,,,.14555496,5129,5399,1942,3457
University of Michigan--Ann Arbor*,Michigan,2008,50,92,18,,72,,,,4.4000001,2007,103,170976,"University of Michigan (Ann Arbor, MI)",21402686,15707,5493566,864449,42802,10907761,4715546,3464635,51974971,.142,,.131,.9520000000000001,.509,457302,64747,149230162,13690,10092786,227,4858322,13917,14951108,21524083,42668,48707892,16880,33369384,353556,18712634,8780145,152015208,293403123,300361123,4830641,,,Fall 2001,13970,13504,6806,7020,2936,3019,Fall 2001,3163,55,4447,77,590,690,630,730,27,31,26,32,27,32,University of Michigan-Ann Arbor,Ann Arbor,MI,Michigan,Public,4 or more years (Baccalaureate or higher degree),,,,.14158477,5727,5992,2216,3776
University of Michigan--Ann Arbor*,Michigan,2009,42,92,17,,71,,,,4.4000001,2008,103,170976,"University of Michigan (Ann Arbor, MI)",19296665,25827,7187024,846947,473993,11572852,5384036,,51597473,.139,,.127,.96,.529,464475,64609,176336998,14096,10019738,247,11161487,14343,21181225,22587466,46785,52011654,11080,30268386,263430,16308840,9826824,145058305,333445185,342054220,4912408,,,Fall 2001,15256,14558,6196,6371,2832,2907,Fall 2001,2411,42,4694,81,580,690,640,740,27,31,27,32,26,32,University of Michigan-Ann Arbor,Ann Arbor,MI,Michigan,Public,4 or more years (Baccalaureate or higher degree),,,,.13910113,5532,5783,1915,3868
,Michigan,,,,,,,,,,,2009,103,170976,"University of Michigan (Ann Arbor, MI)",18927009,37715,5886528,954434,415452,12344405,4726727,2532352,50809635,.124,,.113,.9790000000000001,.476,471213,58264,125291073,16655,11309022,414,12342782,17069,23651804,17050204,50817,43630928,10000,35543790,223550,11840690,8579765,145663639,263329921,265787373,4865172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.12364684,,,,
Michigan State U.,Michigan State,1990,73,31,,,,,,,,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MICHIGAN STATE UNIVERSITY,EAST LANSING,MI,Michigan,Public,4 or more years (Baccalaureate or higher degree),,,,,,,,
Michigan State U.,Michigan State,1991,78,26,,,,,860-1110,,,1990,113,171100,"Michigan State University (East Lansing, MI)",,,,,,,,,,,,,.6806067563135454,,304900,40395,6025018,,,,,,,26557951,,7029121,,,,,,,,50077473,,26557951,7029121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.13248606,,,,
,Michigan State,,,,,,,,,,,1991,113,171100,"Michigan State University (East Lansing, MI)",,,,,,,,,,,,,.6654106579504719,,316346,29802,7269160,,,,,,,29708757,,6263618,,,,,,,,53553876,,29708757,6263618,,,,,,,,,,,,,,,,,,,,,,,MICHIGAN STATE UNIVERSITY,EAST LANSING,MI,Michigan,Public,4 or more years (Baccalaureate or higher degree),,,,.094206974,,,,
Michigan State U.,Michigan State,1993,81,26,10,,,,860-1110,,,1992,113,171100,"Michigan State University (East Lansing, MI)",,,,,,,,,,,,,.7755534933050511,,324349,32788,7533952,,,,,,,29893691,,6526758,,,,,,,,50470283,,29893691,6526758,,,,,,,,,,,,,,,,,,,,,,,MICHIGAN STATE UNIVERSITY,EAST LANSING,MI,Michigan,Public,4 or more years (Baccalaureate or higher degree),,,,.10108864,,6059,655,5404
Michigan State University,Michigan State,1994,83,23,9,,,42,,980,,1993,113,171100,"Michigan State University (East Lansing, MI)",,,,,,,,,,,,,.4586679843080885,,333930,34572,7836706,,,,,,,27350025,,8409130,,,,,,,,50974985,,27350025,8409130,,,,,,,,,,,,,,,,,,,,,,,MICHIGAN STATE UNIVERSITY,EAST LANSING,MI,Michigan,Public,4 or more years (Baccalaureate or higher degree),,,,.10353068,,,,
Michigan State U.,Michigan State,1996,82,23,10,,,,21-26,,,1995,113,171100,"Michigan State University (East Lansing, MI)",,,,,,,,,,,,,.4735063232731131,,340251,32076,8949000,,,,,,,28226000,,5749000,,,,,,,,50157000,,28226000,5749000,,,,,,,,,,,,,,,,,,,,,,,MICHIGAN STATE UNIVERSITY,EAST LANSING,MI,Michigan,Public,4 or more years (Baccalaureate or higher degree),8,4,2,.094271585,,,,
Mich State Univ,Michigan State,1997,81,21,10,,,,,,,1996,113,171100,"Michigan State University (East Lansing, MI)",,,,,,,,,,,,,.4644170476264992,,357868,34393,10989000,,,,,,,30274000,,8222000,,,,,,,,58025000,,30274000,8222000,,,,,,,,,,,,,,,,,,,,,,,MICHIGAN STATE UNIVERSITY,EAST LANSING,MI,Michigan,Public,4 or more years (Baccalaureate or higher degree),8,4,2,.09610527,,6989,609,6380
Michigan State Univ,Michigan State,1998,81,21,12,,,,21-26,,3.5,1997,113,171100,"Michigan State University (East Lansing, MI)",,,,,,,,,,,,,.6094480354040531,,249237,35886,14804000,,,,,,,33356000,,6408000,,,,,,,,71649000,,33356000,6408000,,,,,,,,,,,,,,,,,,,,,,,MICHIGAN STATE UNIVERSITY,EAST LANSING,MI,Michigan,Public,4 or more years (Baccalaureate or higher degree),8,4,2,.14398344,,,,
Michigan State University,Michigan State,1999,77,21,11,,,,,,3.5,1998,113,171100,"Michigan State University (East Lansing, MI)",,,,,,,,,,,,,.5693254778660947,,272252,34720,29637000,,,,,,,31177000,,12490000,,,,,,,,92345000,,31177000,12490000,,,,,,,,,,,,,,,,,,,,,,,MICHIGAN STATE UNIVERSITY,EAST LANSING,MI,Michigan,Public,4 or more years (Baccalaureate or higher degree),8,4,2,.12752891,,6924,591,6333
Michigan State University,Michigan State,2000,71,23,11,,,,21-26,,,1999,113,171100,"Michigan State University (East Lansing, MI)",,,,,,,,,8294910,.128,,,.573,,279419,35905,35299100,7092,5748120,,,7092,,32937900,18764,9067930,,6373280,,31165400,,53825600,,104136000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.12849878,,,,
Michigan State U.,Michigan State,2001,69,24,12,,,,,,3.5999999,2000,113,171100,"Michigan State University (East Lansing, MI)",,,,,,,,,11154200,.109,,,.552,,289811,31449,34280200,7377,7280150,,,7377,,53720900,19911,10906300,,8405180,,51958600,,83153500,,121287000,,,,,,,,,,,,,,,,,,,,,,,,,,MICHIGAN STATE UNIVERSITY,EAST LANSING,MI,Michigan,Public,4 or more years (Baccalaureate or higher degree),8,4,2,.10851555,0,6979,621,6358
Michigan State U.,Michigan State,2002,65,26,15,,,,,,3.5999999,2001,113,171100,"Michigan State University (East Lansing, MI)",2720039,94286,226587,18486,960339,364596,3341612,1154183,10393307,.14,,.135,,,344566,48318,54994010,11173,7307910,713,,,,116751455,22549,6605090,114114,4975371,1227544,110882354,7307909,139605577,,202006722,96033,,,Fall 2001,11106,13285,6696,9181,2949,3812,Fall 2001,1801,26,6427,93,490,640,510,610,22,27,20,27,21,27,MICHIGAN STATE UNIVERSITY,EAST LANSING,MI,Michigan,Public,4 or more years (Baccalaureate or higher degree),8,5,3,.14022858,,6914,711,6203
Michigan State U.,Michigan State,2003,67,26,16,,49,,,,3.5,2002,113,171100,"Michigan State University (East Lansing, MI)",3348684,855,110722,28762,1370115,332713,3529703,1002447,11072568,.139,,.135,.5579999999999999,,399780,55520,54182763,11372,6825552,208,,,,123276787,28070,14147233,58075,6736608,1152244,118899993,6836327,146019360,,211629395,254077,,,Fall 2001,11356,13854,7179,9798,2967,3866,Fall 2001,1844,26,6504,93,490,610,520,640,22,27,21,27,21,27,MICHIGAN STATE UNIVERSITY,EAST LANSING,MI,Michigan,Public,4 or more years (Baccalaureate or higher degree),8,5,3,.13887638,6848,7000,791,6209
Michigan State University,Michigan State,2004,71,28,16,,49,,,,3.5,2003,113,171100,"Michigan State University (East Lansing, MI)",3349139,80605,114052,47838,1205640,249122,3456331,1404277,11063767,.157,,,.85,.234,329865,51708,25375035,10805,6079002,105,30795,10910,6109797,45570185,28782,16608322,57904,14176625,1015537,44274012,6079001,82662608,108468369,118658756,95624,,,Fall 2001,11040,13933,7346,10344,3009,3934,Fall 2001,1847,28,6456,98,500,620,520,650,22,27,21,27,21,27,MICHIGAN STATE UNIVERSITY,EAST LANSING,MI,Michigan,Public,4 or more years (Baccalaureate or higher degree),,,,.15675503,6961,7122,818,6188
Michigan State University,Michigan State,2005,79,24,16,,49,,,,3.5,2004,113,171100,"Michigan State University (East Lansing, MI)",4489781,1218,114146,83620,1389863,287108,4954049,1411423,13785032,.157,,,.758,.197,362538,56976,21143454,,,,,,,47643234,29118,17209335,80517,11471671,1225863,46730104,8741828,87286992,107098505,110784731,82099,,,Fall 2001,9843,11991,7501,9842,3353,4074,Fall 2001,1860,25,6951,94,490,620,515,650,22,27,21,27,21,27,MICHIGAN STATE UNIVERSITY,EAST LANSING,MI,Michigan,Public,4 or more years (Baccalaureate or higher degree),,,,.1571587,7413,7607,835,6772
Michigan State University,Michigan State,2006,,,,,50,,,,3.5,2005,113,171100,"Michigan State University (East Lansing, MI)",3592861,205951,8588,21778,625781,263027,6253693,1556166,13799950,.147,,,.7020000000000001,.308,391121,57527,28051124,,,,,,,23744963,28798,19899154,131273,13836888,2088468,22481327,11404580,64107541,90973951,98783503,101195,,,Fall 2001,9671,12173,6952,9734,3158,4148,Fall 2001,1810,24,6829,91,490,620,520,650,22,27,21,27,21,27,Michigan State University,East Lansing,MI,Michigan,Public,4 or more years (Baccalaureate or higher degree),,,,.14708236,7256,7485,874,6594
Michigan State University*,Michigan State,2007,73,29,15,,47,,,,3.5,2006,113,171100,"Michigan State University (East Lansing, MI)",3577306,116225,9503,23892,792144,303007,7715871,2082778,15721493,.133,,,.83,.333,415097,55268,30195630,,,,,,,18487970,30722,20843110,239254,17316337,2684193,17383218,13812636,65814936,90635481,147363851,89163,,,Fall 2001,10488,12759,7194,9852,3205,4103,Fall 2001,1882,25,6658,89,500,630,530,660,22,27,21,27,22,27,Michigan State University,East Lansing,MI,Michigan,Public,4 or more years (Baccalaureate or higher degree),,,,.13314478,7158,7440,1083,6356
Michigan State University*,Michigan State,2008,74,29,15,,46,,,,3.4000001,2007,113,171100,"Michigan State University (East Lansing, MI)",3366969,139469,4644,15515,1543097,390808,10978781,6921898,24817002,.14,,.137,.845,.377,429693,60208,43705169,,,,,,,22623281,28093,24674918,130400,23070692,2661280,19110973,16856565,83215506,115934355,168932503,316377,,,Fall 2001,11041,13395,7737,10303,3306,4102,Fall 2001,1784,24,6706,89,480,620,520,650,23,27,21,27,22,27,Michigan State University,East Lansing,MI,Michigan,Public,4 or more years (Baccalaureate or higher degree),,,,.14011864,7139,7541,1211,6330
Michigan State University*,Michigan State,2009,70,31,15,,46,,,,3.4000001,2008,113,171100,"Michigan State University (East Lansing, MI)",3806522,200653,11316,34472,4036043,665886,9225627,,21301558,.117,,.11,.618,.258,532923,62444,33083099,,,,,,,33394881,29066,34962772,279916,30199044,2497131,31454492,16039384,100807149,128123958,171696166,94156,,,Fall 2001,11699,13890,7691,10228,3309,4117,Fall 2001,1340,18,6545,87,480,620,540,660,23,27,22,28,22,28,Michigan State University,East Lansing,MI,Michigan,Public,4 or more years (Baccalaureate or higher degree),,,,.11717265,6915,7519,1379,6137
,Michigan State,,,,,,,,,,,2009,113,171100,"Michigan State University (East Lansing, MI)",3673346,2890,27754,45959,249366,517330,9095864,1602332,16526000,.134,,.134,.6970000000000001,.247,426907,57156,30363576,,,,,,,26152473,31019,31132606,93198,28390687,2004935,23823077,14238054,97594170,122724904,128961360,82316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.13388397,,,,
Middle Tennessee State U.,Middle Tennessee St.,1990,77,,,,,,,,,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIDDLE TENNESSE STATE UNIVERSITY,MURFREESBORO,TN,Tennessee,Public,4 or more years (Baccalaureate or higher degree),,,,,,,,
Middle Tennessee,Middle Tennessee St.,1991,63,,,,,,,,,1990,143,220978,"Middle Tennessee State University (Murfreesboro, TN)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Middle Tennessee St.,,,,,,,,,,,1991,143,220978,"Middle Tennessee State University (Murfreesboro, TN)",,,,,,,,,,,,,,,,,608551,,,,,,,327093,,57975,,,,,,,,1828965,,327093,57975,,,,,,,,,,,,,,,,,,,,,,,MIDDLE TENNESSE STATE UNIVERSITY,MURFREESBORO,TN,Tennessee,Public,4 or more years (Baccalaureate or higher degree),,,,,,,,
,Middle Tennessee St.,,,,,,,,,,,1992,143,220978,"Middle Tennessee State University (Murfreesboro, TN)",,,,,,,,,,,,,1,,40225,3117,451872,,,,,,,435610,,530579,,,,,,,,2190662,,435610,530579,,,,,,,,,,,,,,,,,,,,,,,MIDDLE TENNESSEE STATE UNIVERSITY,MURFREESBORO,TN,Tennessee,Public,4 or more years (Baccalaureate or higher degree),,,,.077489123,,2152,88,2064
Middle Tennessee State University,Middle Tennessee St.,1994,75,,10,,,220,,905,,1993,143,220978,"Middle Tennessee State University (Murfreesboro, TN)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIDDLE TENNESSEE STATE UNIVERSITY,MURFREESBORO,TN,Tennessee,Public,4 or more years (Baccalaureate or higher degree),,,,,,,,
Middle Tennessee State U.,Middle Tennessee St.,1996,72,,8,,,,19-24,,,1995,143,220978,"Middle Tennessee State University (Murfreesboro, TN)",,,,,,,,,,,,,.2015518913676043,,51550,3817,421000,,,,,,,1004000,,48000,,,,,,,,2752000,,1004000,48000,,,,,,,,,,,,,,,,,,,,,,,MIDDLE TENNESSEE STATE UNIVERSITY,MURFREESBORO,TN,Tennessee,Public,4 or more years (Baccalaureate or higher degree),10,2,1,.074044615,,,,
Middle Tennessee State Univ,Middle Tennessee St.,1997,69,17,9,,,,,,,1996,143,220978,"Middle Tennessee State University (Murfreesboro, TN)",,,,,,,,,,,,,1,,49701,5373,512000,,,,,,,867000,,42000,,,,,,,,4563000,,867000,42000,,,,,,,,,,,,,,,,,,,,,,,MIDDLE TENNESSEE STATE UNIVERSITY,MURFREESBORO,TN,Tennessee,Public,4 or more years (Baccalaureate or higher degree),10,1,1,.10810648,,2295,157,2138
Middle Tennessee State Univ,Middle Tennessee St.,1998,74,18,10,,,,19-25,,1.9,1997,143,220978,"Middle Tennessee State University (Murfreesboro, TN)",,,,,,,,,,,,,1,,50686,4876,527000,,,,,,,1444000,,33000,,,,,,,,7196000,,1444000,33000,,,,,,,,,,,,,,,,,,,,,,,MIDDLE TENNESSEE STATE UNIVERSITY,MURFREESBORO,TN,Tennessee,Public,4 or more years (Baccalaureate or higher degree),10,1,1,.096200131,,,,
Middle Tennessee State U,Middle Tennessee St.,1999,76,15,10,,,,,,2,1998,143,220978,"Middle Tennessee State University (Murfreesboro, TN)",,,,,,,,,,,,,1,,51742,5770,1371000,,,,,,,761000,,104000,,,,,,,,4113000,,761000,104000,,,,,,,,,,,,,,,,,,,,,,,MIDDLE TENNESSEE STATE UNIVERSITY,MURFREESBORO,TN,Tennessee,Public,4 or more years (Baccalaureate or higher degree),10,0,1,.11151482,,2575,228,2347
Middle Tennessee State Univ.,Middle Tennessee St.,2000,77,13,10,,,,19-24,,,1999,143,220978,"Middle Tennessee State University (Murfreesboro, TN)",142469,7915,,785,48132,22167,84785,195462,622639,.083,,.069,.7170000000000001,,57213,4761,925919,673,231409,,,673,,1222250,7568,158575,,155975,85779,972510,231408,2619380,,5361690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.083215356,,,,
Middle Tennesseee State ZU.,Middle Tennessee St.,2001,79,14,10,,,,,,2.0999999,2000,143,220978,"Middle Tennessee State University (Murfreesboro, TN)",76472,11661,,10838,,61245,149235,52313,454580,.07,,.063,.862,,59530,4152,1148660,994,414683,1,,995,,1316010,7618,1248720,4400,192923,143404,1007070,414682,2276330,,7367760,,,,,,,,,,,,,,,,,,,,,,,,,,MIDDLE TENNESSEE STATE UNIVERSITY,MURFREESBORO,TN,Tennessee,Public,4 or more years (Baccalaureate or higher degree),11,2,1,.069746345,0,2830,238,2592
Middle Tennesseee State ZU.,Middle Tennessee St.,2002,78,14,9,,,,,,2.0999999,2001,143,220978,"Middle Tennessee State University (Murfreesboro, TN)",36438,1055,,695,139194,50697,199169,74729,596195,.059,,.055,.8540000000000001,,61362,3632,764802,1128,424696,1,,,,1928010,8276,324645,6000,160145,95028,1611366,424696,3141271,,5343741,,,,Fall 2001,2806,3489,2125,2800,1255,1525,Fall 2001,353,12,2646,88,,,,,19,25,19,25,17,21,MIDDLE TENNESSEE STATE UNIVERSITY,MURFREESBORO,TN,Tennessee,Public,4 or more years (Baccalaureate or higher degree),11,2,1,.059189726,,2904,244,2660
